rev_id,prediction
516633096,RevisionNotFound
550682925,RevisionNotFound
627547024,RevisionNotFound
636911471,RevisionNotFound
669987106,RevisionNotFound
671484594,RevisionNotFound
680981536,RevisionNotFound
684023803,RevisionNotFound
684023859,RevisionNotFound
696608092,RevisionNotFound
698572327,RevisionNotFound
699260156,TextDeleted
703773782,RevisionNotFound
706204833,RevisionNotFound
706810694,RevisionNotFound
708482569,RevisionNotFound
708813010,RevisionNotFound
709508670,RevisionNotFound
710135228,RevisionNotFound
710311600,RevisionNotFound
710715953,RevisionNotFound
711224007,RevisionNotFound
711288191,RevisionNotFound
711513274,RevisionNotFound
712411818,RevisionNotFound
712872338,RevisionNotFound
712872421,RevisionNotFound
712872473,RevisionNotFound
712872531,RevisionNotFound
712873183,RevisionNotFound
712873308,RevisionNotFound
712873386,RevisionNotFound
712878000,RevisionNotFound
712878267,RevisionNotFound
712878343,RevisionNotFound
712878396,RevisionNotFound
712881543,RevisionNotFound
712881676,RevisionNotFound
712881741,RevisionNotFound
712881882,RevisionNotFound
712889562,RevisionNotFound
712889594,RevisionNotFound
712889683,RevisionNotFound
712889781,RevisionNotFound
712889809,RevisionNotFound
712891291,RevisionNotFound
712891354,RevisionNotFound
712891378,RevisionNotFound
712891476,RevisionNotFound
713368646,RevisionNotFound
713381693,RevisionNotFound
714352602,TextDeleted
715273866,RevisionNotFound
715457941,RevisionNotFound
715534283,RevisionNotFound
715978328,RevisionNotFound
717536136,RevisionNotFound
717891895,TextDeleted
717917231,RevisionNotFound
717927381,RevisionNotFound
718090116,RevisionNotFound
719342595,RevisionNotFound
719521006,RevisionNotFound
719581803,RevisionNotFound
719981739,RevisionNotFound
720054719,RevisionNotFound
720154872,RevisionNotFound
720164068,RevisionNotFound
720356159,RevisionNotFound
720688837,RevisionNotFound
720856841,RevisionNotFound
720924221,RevisionNotFound
720953589,RevisionNotFound
720959757,RevisionNotFound
720993927,RevisionNotFound
721106120,RevisionNotFound
721509220,RevisionNotFound
721856824,RevisionNotFound
723082034,RevisionNotFound
723308478,RevisionNotFound
724052271,RevisionNotFound
726600165,RevisionNotFound
726639434,RevisionNotFound
726805368,RevisionNotFound
730950147,RevisionNotFound
734957625,RevisionNotFound
735966681,RevisionNotFound
736660951,RevisionNotFound
737123608,RevisionNotFound
738480520,RevisionNotFound
738514517,RevisionNotFound
738984692,RevisionNotFound
739115995,RevisionNotFound
740126873,RevisionNotFound
743770874,RevisionNotFound
744643166,RevisionNotFound
745915558,RevisionNotFound
746758535,RevisionNotFound
747688056,RevisionNotFound
747922835,RevisionNotFound
748601806,RevisionNotFound
749326717,RevisionNotFound
749389032,RevisionNotFound
749546552,RevisionNotFound
749699147,RevisionNotFound
749705073,RevisionNotFound
750849372,RevisionNotFound
753191526,RevisionNotFound
754739349,RevisionNotFound
756697478,RevisionNotFound
757313957,RevisionNotFound
757961591,RevisionNotFound
758706289,RevisionNotFound
760194556,RevisionNotFound
760195376,RevisionNotFound
761821348,RevisionNotFound
762816132,RevisionNotFound
763245610,RevisionNotFound
763558111,RevisionNotFound
764019224,RevisionNotFound
764191934,RevisionNotFound
764911200,RevisionNotFound
765228329,RevisionNotFound
765489047,TextDeleted
765662083,RevisionNotFound
765717347,RevisionNotFound
766101638,RevisionNotFound
768013050,RevisionNotFound
768871687,RevisionNotFound
771213598,RevisionNotFound
771642775,RevisionNotFound
772176512,RevisionNotFound
772567736,RevisionNotFound
773323473,RevisionNotFound
773355081,RevisionNotFound
773601556,RevisionNotFound
774023957,TextDeleted
774293013,RevisionNotFound
777163201,RevisionNotFound
778388481,RevisionNotFound
778618827,RevisionNotFound
779101752,RevisionNotFound
779135011,RevisionNotFound
779409209,RevisionNotFound
779899001,RevisionNotFound
779954797,RevisionNotFound
779957437,RevisionNotFound
781072934,RevisionNotFound
781427254,RevisionNotFound
782170063,RevisionNotFound
782508289,RevisionNotFound
783382630,RevisionNotFound
784558743,RevisionNotFound
786721553,RevisionNotFound
787181453,RevisionNotFound
787353922,RevisionNotFound
787391918,RevisionNotFound
787398581,RevisionNotFound
787453368,RevisionNotFound
788037971,RevisionNotFound
788289620,RevisionNotFound
788310383,RevisionNotFound
788722110,RevisionNotFound
788844423,RevisionNotFound
788884593,RevisionNotFound
789080627,RevisionNotFound
789150159,RevisionNotFound
789262504,RevisionNotFound
789266166,RevisionNotFound
789271422,RevisionNotFound
789281061,RevisionNotFound
789285351,RevisionNotFound
789285762,RevisionNotFound
789286413,RevisionNotFound
789444415,RevisionNotFound
789736824,RevisionNotFound
789816636,RevisionNotFound
790028876,RevisionNotFound
790147995,RevisionNotFound
790410710,RevisionNotFound
791429003,RevisionNotFound
791866288,RevisionNotFound
792184018,RevisionNotFound
792400552,RevisionNotFound
792440851,RevisionNotFound
792857662,RevisionNotFound
792933603,RevisionNotFound
793280504,RevisionNotFound
794311724,TextDeleted
794409906,RevisionNotFound
794768894,RevisionNotFound
794866848,RevisionNotFound
794990759,RevisionNotFound
795545202,RevisionNotFound
795588781,RevisionNotFound
796744496,RevisionNotFound
796758810,RevisionNotFound
797311794,RevisionNotFound
797902544,RevisionNotFound
798073295,RevisionNotFound
798615865,RevisionNotFound
798841317,RevisionNotFound
798865216,RevisionNotFound
798891126,RevisionNotFound
798945915,RevisionNotFound
798952867,RevisionNotFound
799036953,RevisionNotFound
799263010,RevisionNotFound
799300265,RevisionNotFound
799540668,RevisionNotFound
799880073,RevisionNotFound
799933274,RevisionNotFound
799981363,RevisionNotFound
800072571,RevisionNotFound
800144885,RevisionNotFound
800233652,RevisionNotFound
800299837,RevisionNotFound
800471126,RevisionNotFound
800574730,RevisionNotFound
800707821,RevisionNotFound
800802122,TextDeleted
801177435,RevisionNotFound
801306872,RevisionNotFound
801536406,RevisionNotFound
801563949,RevisionNotFound
801566979,RevisionNotFound
801638735,RevisionNotFound
801696196,RevisionNotFound
801835819,TextDeleted
802148439,RevisionNotFound
802302246,RevisionNotFound
802445176,TextDeleted
802475516,RevisionNotFound
802515929,RevisionNotFound
802765034,RevisionNotFound
802904214,TextDeleted
802937732,TextDeleted
803413615,RevisionNotFound
803484030,RevisionNotFound
803784385,RevisionNotFound
804057093,RevisionNotFound
804118645,RevisionNotFound
804158476,RevisionNotFound
804473605,RevisionNotFound
804697858,RevisionNotFound
804791599,RevisionNotFound
804941978,RevisionNotFound
804945338,RevisionNotFound
804946658,RevisionNotFound
805031334,RevisionNotFound
805041930,RevisionNotFound
805211553,RevisionNotFound
805420467,RevisionNotFound
805517427,RevisionNotFound
805697623,RevisionNotFound
805788048,RevisionNotFound
805936041,RevisionNotFound
805970954,RevisionNotFound
805993160,RevisionNotFound
806030859,RevisionNotFound
806179522,RevisionNotFound
806223655,RevisionNotFound
806372496,TextDeleted
806403304,RevisionNotFound
806542084,RevisionNotFound
806695084,RevisionNotFound
806708318,TextDeleted
806811023,RevisionNotFound
807000274,TextDeleted
807161510,RevisionNotFound
807196681,TextDeleted
807336308,RevisionNotFound
807367030,RevisionNotFound
807367166,RevisionNotFound
807479587,RevisionNotFound
807484325,RevisionNotFound
