page,country,rev_id,Population,prediction
Bir I of Kanem,Chad,355319463.0,16877000.0,Stub
Abdullah II of Kanem,Chad,498683267.0,16877000.0,Stub
Salmama II of Kanem,Chad,565745353.0,16877000.0,Stub
Kuri I of Kanem,Chad,565745365.0,16877000.0,Stub
Mohammed I of Kanem,Chad,565745375.0,16877000.0,Stub
Kuri II of Kanem,Chad,669719757.0,16877000.0,Stub
Bir II of Kanem,Chad,670893206.0,16877000.0,Stub
Mahamat Hissene,Chad,693055898.0,16877000.0,Stub
Othman I,Chad,705432607.0,16877000.0,Stub
Alphonse Kotiga,Chad,707593108.0,16877000.0,Stub
Oueddei Kichidemi,Chad,708346649.0,16877000.0,Start
Dunama I,Chad,710675092.0,16877000.0,Stub
Ahmad (Kanem-Bornu king),Chad,711388267.0,16877000.0,Stub
Djibrine Kerallah,Chad,712971263.0,16877000.0,Stub
Maurice Ngangtar,Chad,712971315.0,16877000.0,Stub
Idriss Miskine,Chad,712971738.0,16877000.0,Stub
Laoukein Kourayo Médard,Chad,716886170.0,16877000.0,Stub
Nadji Madou,Chad,716886788.0,16877000.0,Stub
Noël Milarew Odingar,Chad,716891799.0,16877000.0,Start
Yaya Dillo Djérou,Chad,717733209.0,16877000.0,Stub
Acheikh Ibn-Oumar,Chad,719821590.0,16877000.0,Start
Quatre Sou Quatre,Chad,720066754.0,16877000.0,Stub
Ali Gazi,Chad,722563340.0,16877000.0,Stub
Mahamat Djarma Khatir,Chad,725132042.0,16877000.0,Stub
Dunama IX Lefiami,Chad,731749611.0,16877000.0,Stub
Dawud of Kanem,Chad,736550266.0,16877000.0,Stub
Ahmed Koulamallah,Chad,738855197.0,16877000.0,Start
Abbo Nassour,Chad,741369486.0,16877000.0,C
Abdel Kader Baba-Laddé,Chad,742213176.0,16877000.0,Stub
Hummay,Chad,747271475.0,16877000.0,Stub
Ngarlejy Yorongar,Chad,751304544.0,16877000.0,C
Saleh Kezabo,Chad,751380073.0,16877000.0,Stub
Bourkou Louise Kabo,Chad,757072468.0,16877000.0,Start
Brahim Koulamallah,Chad,757802238.0,16877000.0,Stub
Saadie Goukouni Weddeye,Chad,757842614.0,16877000.0,Start
Mahamoud Adam Béchir,Chad,762579466.0,16877000.0,Start
Djidingar Dono Ngardoum,Chad,764133533.0,16877000.0,Stub
Youssouf Saleh Abbas,Chad,771052289.0,16877000.0,C
Koibla Djimasta,Chad,774223245.0,16877000.0,Start
Nassour Guelendouksia Ouaido,Chad,774223248.0,16877000.0,C
Joseph Brahim Seid,Chad,777478442.0,16877000.0,Stub
Joseph Yodoyman,Chad,777550078.0,16877000.0,Start
Antoine Bangui,Chad,782638002.0,16877000.0,Start
Ibrahim IV of Bornu,Chad,785614014.0,16877000.0,Stub
Hadjé Halimé,Chad,786449636.0,16877000.0,C
Youssouf Togoïmi,Chad,787390241.0,16877000.0,Start
Adoum Younousmi,Chad,787719236.0,16877000.0,Start
François Tombalbaye,Chad,787738541.0,16877000.0,C
Ahmat Hassaballah Soubiane,Chad,787910771.0,16877000.0,Stub
Ahmad Allam-Mi,Chad,787921293.0,16877000.0,Start
Laotegguelnodji Koumtog,Chad,788009613.0,16877000.0,Stub
Mahamat Ali Adoum,Chad,788014671.0,16877000.0,Start
Mahamat Saleh Annadif,Chad,788658822.0,16877000.0,Start
Mohamed Bechir-Sow,Chad,788827248.0,16877000.0,Stub
Gontchomé Sahoulba,Chad,788828388.0,16877000.0,Start
Gabriel Lisette,Chad,788828519.0,16877000.0,Start
Ali II of Bornu,Chad,788999424.0,16877000.0,Stub
Arabi El Goni,Chad,789126126.0,16877000.0,Stub
Dunama Dabbalemi,Chad,789935196.0,16877000.0,Start
Idris Alooma,Chad,792734868.0,16877000.0,Start
Mahamat Nouri,Chad,792954115.0,16877000.0,B
Idriss Ndele Moussa,Chad,796654025.0,16877000.0,Stub
Mbaydoum Simeon,Chad,796690873.0,16877000.0,Stub
Ngarindo Milengar,Chad,796700718.0,16877000.0,Stub
List of Prime Ministers of Chad,Chad,797747674.0,16877000.0,Start
Idriss Déby,Chad,798286150.0,16877000.0,C
Saleh Kebzabo,Chad,798626040.0,16877000.0,C
Moussa Faki,Chad,799043301.0,16877000.0,C
Kalzeubet Pahimi Deubet,Chad,799413193.0,16877000.0,Stub
Haroun Kabadi,Chad,799447895.0,16877000.0,Start
Nagoum Yamassoum,Chad,799447995.0,16877000.0,Start
Outel Bono,Chad,799448338.0,16877000.0,Start
Ahmat Acyl,Chad,799902492.0,16877000.0,C
Djimrangar Dadnadji,Chad,800133552.0,16877000.0,Start
Delwa Kassiré Koumakoye,Chad,801029539.0,16877000.0,C
Fidèle Moungar,Chad,801192255.0,16877000.0,C
Jean Alingué Bawoyeu,Chad,801192303.0,16877000.0,B
Emmanuel Nadingar,Chad,801573576.0,16877000.0,C
Roger Djikisna,Chad,801583221.0,16877000.0,Stub
Firmin Djidingar,Chad,801583260.0,16877000.0,Stub
Idris I of Kanem,Chad,802874918.0,16877000.0,Stub
Vice President of Chad,Chad,803166509.0,16877000.0,Stub
Hissène Habré,Chad,803166806.0,16877000.0,GA
Negue Djogo,Chad,803166989.0,16877000.0,Start
Wadel Abdelkader Kamougué,Chad,803167152.0,16877000.0,C
Félix Malloum,Chad,803167336.0,16877000.0,Start
Lol Mahamat Choua,Chad,803167424.0,16877000.0,C
Goukouni Oueddei,Chad,803167990.0,16877000.0,C
Albert Pahimi Padacké,Chad,803433107.0,16877000.0,C
List of heads of state of Chad,Chad,803812011.0,16877000.0,Start
Elise Loum,Chad,804773540.0,16877000.0,Start
Agnes Allafi,Chad,805493169.0,16877000.0,Start
Christine Georges Diguibaye,Chad,806337653.0,16877000.0,Stub
Pascal Yoadimnadji,Chad,806508985.0,16877000.0,Start
Aissa Koli,Chad,806616268.0,16877000.0,Start
Omar I of Kanem,Chad,807425129.0,16877000.0,Start
Information Minister of the Palestinian National Authority,Palestinian Territory,393276188.0,5008000.0,Stub
Finance Minister of the Palestinian National Authority,Palestinian Territory,596181202.0,5008000.0,Start
Planning Minister of the Palestinian National Authority,Palestinian Territory,633612729.0,5008000.0,Start
Hossam Arafat (politician),Palestinian Territory,680933208.0,5008000.0,Stub
Tawfik Tirawi,Palestinian Territory,701106976.0,5008000.0,Start
Isam al-Qadi,Palestinian Territory,706650943.0,5008000.0,Stub
Hussein al-Araj,Palestinian Territory,707669406.0,5008000.0,Stub
Mohammad Barghouti,Palestinian Territory,708269321.0,5008000.0,Stub
Ahmed Khalidi,Palestinian Territory,708495719.0,5008000.0,Stub
Health Minister of the Palestinian National Authority,Palestinian Territory,708817890.0,5008000.0,Stub
Qais Abd al-Karim,Palestinian Territory,709529097.0,5008000.0,Stub
Mahmoud Aloul,Palestinian Territory,709567584.0,5008000.0,Stub
Victor Batarseh,Palestinian Territory,709994434.0,5008000.0,Stub
Hanna Nasser (academic),Palestinian Territory,710133339.0,5008000.0,Start
